Warning at line 175, column 9: Unused variable 'ignored'
Warning at line 2092, column 9: Unused variable 'rejected'
Warning at line 2213, column 9: Unused variable 'rejected'
Warning at line 2220, column 13: Unused variable 'rejected'
Warning at line 2258, column 9: Unused variable 'rejected'
Warning at line 2262, column 9: Unused variable 'rejected'
Warning at line 2269, column 13: Unused variable 'rejected'
Warning at line 5384, column 17: Unused variable 'imported'
[shadow-progress] elapsed_ms=455.324 admission_calls=120 admission_ms=457.821 assert_traps=59 full_calls=61 full_ns=457819492 reuse_calls=59 reuse_ns=1744 admission_ns=457821236 enter fn=599 pc=155496 name=$shadow_36_normalize
[shadow-progress] elapsed_ms=480.947 admission_calls=126 admission_ms=480.351 assert_traps=62 full_calls=64 full_ns=480348922 reuse_calls=62 reuse_ns=1824 admission_ns=480350746 leave fn=599 pc=155496 name=$shadow_36_normalize
[shadow-progress] elapsed_ms=480.950 admission_calls=126 admission_ms=480.351 assert_traps=62 full_calls=64 full_ns=480348922 reuse_calls=62 reuse_ns=1824 admission_ns=480350746 enter fn=600 pc=155548 name=$shadow_37_join
[shadow-progress] elapsed_ms=506.546 admission_calls=132 admission_ms=502.856 assert_traps=65 full_calls=67 full_ns=502853983 reuse_calls=65 reuse_ns=1920 admission_ns=502855903 leave fn=600 pc=155548 name=$shadow_37_join
[shadow-progress] elapsed_ms=506.549 admission_calls=132 admission_ms=502.856 assert_traps=65 full_calls=67 full_ns=502853983 reuse_calls=65 reuse_ns=1920 admission_ns=502855903 enter fn=601 pc=155615 name=$shadow_38_basename
[shadow-progress] elapsed_ms=523.730 admission_calls=136 admission_ms=517.821 assert_traps=67 full_calls=69 full_ns=517819431 reuse_calls=67 reuse_ns=1968 admission_ns=517821399 leave fn=601 pc=155615 name=$shadow_38_basename
[shadow-progress] elapsed_ms=523.732 admission_calls=136 admission_ms=517.821 assert_traps=67 full_calls=69 full_ns=517819431 reuse_calls=67 reuse_ns=1968 admission_ns=517821399 enter fn=602 pc=155650 name=$shadow_39_dirname
[shadow-progress] elapsed_ms=540.914 admission_calls=140 admission_ms=532.801 assert_traps=69 full_calls=71 full_ns=532798751 reuse_calls=69 reuse_ns=2016 admission_ns=532800767 leave fn=602 pc=155650 name=$shadow_39_dirname
[shadow-progress] elapsed_ms=540.917 admission_calls=140 admission_ms=532.801 assert_traps=69 full_calls=71 full_ns=532798751 reuse_calls=69 reuse_ns=2016 admission_ns=532800767 enter fn=603 pc=155685 name=$shadow_40_relpath
[shadow-progress] elapsed_ms=658.981 admission_calls=160 admission_ms=637.633 assert_traps=75 full_calls=85 full_ns=637630315 reuse_calls=75 reuse_ns=2192 admission_ns=637632507 leave fn=603 pc=155685 name=$shadow_40_relpath
[shadow-progress] elapsed_ms=658.986 admission_calls=160 admission_ms=637.633 assert_traps=75 full_calls=85 full_ns=637630315 reuse_calls=75 reuse_ns=2192 admission_ns=637632507 enter fn=604 pc=155868 name=$shadow_41_cwd
